,latitude,longitude
0,24.6560243958235,-82.8979051581699
1,24.6434053974383,-82.8013582701388
2,24.5524817365512,-82.1263081043704
3,24.539122876038,-82.029985752688
4,24.5256716576823,-81.9336923040681
5,24.613589385735,-82.1167392897996
6,24.5867665187173,-81.9239945209264
7,24.5732165177484,-81.8276657645269
8,24.5595741764942,-81.73136633978
9,24.5458395236663,-81.6350964309655
10,24.6636944797417,-81.8131802899223
11,24.6500424857493,-81.7167854084642
12,24.6362981220906,-81.6204201321458
13,24.6224614177962,-81.5240846454105
14,24.608532402052,-81.4277791323422
15,24.594511104199,-81.3315037766647
16,24.7404810342899,-81.7021748719491
17,24.7267269152536,-81.6057140436834
18,24.7128803973841,-81.5092830950856
19,24.6989415100321,-81.4128822107586
20,24.684910282704,-81.3165115749432
21,24.6707867450612,-81.2201713715154
22,24.6565709269193,-81.1238617839849
23,25.8254574874947,-97.4842810776759
24,25.8268334634129,-97.3855081482376
25,24.8032696869164,-81.4944514804292
26,24.7893208827494,-81.3979550406029
27,24.7752796804718,-81.3014889407733
28,24.7611461099123,-81.2050533653335
29,24.7469202010541,-81.1086484983086
30,24.7326019840351,-81.0122745233536
31,24.7181914891461,-80.9159316237518
32,25.9150961991455,-97.5846979296343
33,25.9165679992144,-97.4858254740219
34,25.9179450136206,-97.3869498014389
35,25.9192272391159,-97.2880711258042
36,25.9204146726754,-97.1891896610758
37,24.808490602994,-80.9004968003664
38,24.7939775506517,-80.8040899776247
39,25.9973923435052,-98.0811695900931
40,26.0011917960349,-97.8832531903878
41,26.0029492613743,-97.7842887559591
42,26.0046118804709,-97.685320450999
43,26.0061796493855,-97.5863484899609
44,26.0076525644031,-97.4873730873455
45,26.0090306220329,-97.3883944576985
46,26.0103138190085,-97.2894128156073
47,26.0115021522879,-97.1904283756988
48,24.8987600697695,-80.8850306242275
49,24.8842366603407,-80.7885284370393
50,24.8696209190521,-80.692057880902
51,26.0842613716364,-98.2814437290645
52,26.0863998018458,-98.1823938481968
53,26.0884433319199,-98.0833392247198
54,26.0903919569971,-97.9842800735386
55,26.0922456724406,-97.885216609617
56,26.0940044738386,-97.7861490479745
57,26.0956683570046,-97.687077603685
58,26.0972373179771,-97.5880024918721
59,26.0987113530204,-97.4889239277077
60,26.1000904586242,-97.3898421264085
61,26.1013746315036,-97.2907573032335
62,26.1025638685999,-97.1916696734814
63,25.0177903822408,-81.0628229145022
64,25.0034414412613,-80.9661622784008
65,24.9890000484384,-80.8695330005299
66,24.9744662347314,-80.7729352653394
67,24.959840031254,-80.676369256898
68,24.9451214692731,-80.5798351588913
69,26.1707185087868,-98.482115681169
70,26.1730484992806,-98.3829726748236
71,26.1752835278796,-98.2838244800462
72,26.1774235892429,-98.184671312287
73,26.1794686782555,-98.0855133870608
74,26.1814187900285,-97.9863509199449
75,26.1832739198992,-97.8871841265756
76,26.1850340634311,-97.7880132226459
77,26.1866992164142,-97.6888384239023
78,26.1882693748651,-97.5896599461424
79,26.189744535027,-97.4904780052116
80,26.1911246933699,-97.3912928170008
81,26.1924098465909,-97.2921045974434
82,26.1935999916138,-97.1929135625119
83,25.1222884940298,-81.1442733251004
84,25.1080217596626,-81.0474854983826
85,25.0936624839524,-80.9507289395959
86,25.0792106978758,-80.8540038340881
87,25.0646664325655,-80.7573103668266
88,25.0500297193093,-80.6606487223948
89,25.0353005895493,-80.5640190849921
90,25.020479074881,-80.4674216384309
91,26.2541462123533,-98.7824144047463
92,26.2567630550537,-98.683184838015
93,26.2592848808476,-98.5839494186281
94,26.2617116836839,-98.484708362498
95,26.2640434577381,-98.3854618856099
96,26.2662801974125,-98.2862102040205
97,26.2684218973363,-98.1869535338545
98,26.2704685523662,-98.0876920913016
99,26.2724201575857,-97.988426092614
100,26.2742767083062,-97.8891557541037
101,26.2760382000664,-97.7898812921396
102,26.2777046286327,-97.690602923144
103,26.2792759899995,-97.5913208635909
104,26.280752280389,-97.4920353300027
