,site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
3041,47764,-117.716431,37.63942,Nevada,Esmeralda,1.0,3,16,3.79,0.154,95,95/47764.nc
3042,65499,-117.715805,39.501175,Nevada,Churchill,1.0,3,16,4.0,0.15,130,130/65499.nc
3043,121262,-117.719833,46.314232,Washington,Columbia,0.9642,2,16,8.34,0.449,242,242/121262.nc
3044,122089,-117.721375,46.526615,Washington,Garfield,0.6326,2,12,7.34,0.405,244,244/122089.nc
3045,65255,-117.709381,39.483326,Nevada,Churchill,1.0,3,16,4.15,0.158,130,130/65255.nc
3046,114539,-117.706512,44.750687,Oregon,Baker,0.8927,3,16,7.08,0.403,229,229/114539.nc
3047,119625,-117.712494,45.948273,Oregon,Wallowa,0.0674,3,2,7.03,0.387,239,239/119625.nc
3048,122025,-117.714127,46.508675,Washington,Garfield,0.9668,2,16,7.42,0.395,244,244/122025.nc
3049,29097,-117.701141,34.438488,California,Los Angeles,1.0,3,16,5.44,0.239,58,58/29097.nc
3050,40927,-117.700104,36.285404,California,Inyo,1.0,3,16,5.16,0.209,81,81/40927.nc
3051,47325,-117.697723,37.586079,Nevada,Esmeralda,0.9251,3,16,4.97,0.223,94,94/47325.nc
3052,63468,-117.697815,39.312805,Nevada,Lander,1.0,2,16,6.95,0.296,126,126/63468.nc
3053,65760,-117.699097,39.523979,Nevada,Churchill,1.0,3,16,3.88,0.143,131,131/65760.nc
3054,109855,-117.703537,43.63023,Oregon,Malheur,0.9443,3,16,6.39,0.317,219,219/109855.nc
3055,114455,-117.699493,44.732738,Oregon,Baker,0.9026,3,16,6.97,0.392,228,228/114455.nc
3056,121341,-117.70108,46.33717,Washington,Columbia,0.7974,2,14,7.79,0.426,242,242/121341.nc
3057,122090,-117.695297,46.531609,Washington,Garfield,0.8443,2,14,7.28,0.398,244,244/122090.nc
3058,47180,-117.691498,37.568314,Nevada,Esmeralda,0.5334,2,10,5.53,0.243,94,94/47180.nc
3059,65500,-117.692673,39.506134,Nevada,Churchill,1.0,3,16,3.97,0.149,131,131/65500.nc
3060,109951,-117.685638,43.653152,Oregon,Malheur,1.0,3,16,6.0,0.286,219,219/109951.nc
3061,119626,-117.686676,45.953262,Oregon,Wallowa,0.7041,3,12,7.03,0.371,239,239/119626.nc
3062,122026,-117.688049,46.51366,Washington,Garfield,0.8547,2,14,7.52,0.407,244,244/122026.nc
3063,29098,-117.679779,34.443386,California,Los Angeles,1.0,3,16,5.09,0.217,58,58/29098.nc
3064,32573,-117.678467,34.918629,California,Kern,0.5191,2,10,7.01,0.386,65,65/32573.nc
3065,47326,-117.675293,37.591019,Nevada,Esmeralda,0.8867,3,16,4.63,0.197,94,94/47326.nc
3066,65761,-117.675964,39.528938,Nevada,Churchill,1.0,3,16,3.86,0.142,131,131/65761.nc
3067,108993,-117.680161,43.499683,Oregon,Malheur,0.9016,3,16,6.28,0.31,217,217/108993.nc
3068,109856,-117.678741,43.635212,Oregon,Malheur,0.9514,3,16,6.38,0.315,219,219/109856.nc
3069,114540,-117.681244,44.755665,Oregon,Baker,0.9412,3,16,7.02,0.404,229,229/114540.nc
3070,121066,-117.679413,46.283321,Washington,Columbia,0.5195,3,10,8.09,0.463,242,242/121066.nc
3071,122164,-117.676453,46.554535,Washington,Garfield,0.9715,3,16,6.78,0.388,244,244/122164.nc
3072,24702,-117.670517,33.800735,California,Orange,1.0,3,16,4.29,0.147,49,49/24702.nc
3073,40478,-117.669617,36.196815,California,Inyo,0.9989,2,16,6.96,0.319,80,80/40478.nc
3074,47181,-117.669067,37.573242,Nevada,Esmeralda,0.8464,3,14,5.17,0.229,94,94/47181.nc
3075,56811,-117.667313,38.743145,Nevada,Nye,0.998,2,16,5.77,0.218,113,113/56811.nc
3076,65501,-117.66954,39.511093,Nevada,Churchill,1.0,3,16,4.01,0.153,131,131/65501.nc
3077,100146,-117.671021,42.362194,Oregon,Malheur,0.905,2,16,6.97,0.317,200,200/100146.nc
3078,109755,-117.671875,43.617279,Oregon,Malheur,0.8293,3,14,6.36,0.323,219,219/109755.nc
3079,114370,-117.667221,44.719772,Oregon,Baker,0.8296,3,14,7.08,0.403,228,228/114370.nc
3080,119684,-117.66803,45.9762,Oregon,Wallowa,0.1678,3,4,5.68,0.284,239,239/119684.nc
