,state,latitude,longitude,Distance to Salt Cavern [km],Salt Cavern Name
1216,California,41.22,-123.012,1702.3521905457865,ASQUITH
1217,Pennsylvania,41.59,-79.82,258.9592471709066,SENECA LAKE STORAGE
1218,California,39.321,-120.734,1760.8659603255169,ASQUITH
1219,Illinois,39.382,-88.671,450.2845817932036,LACEY STORAGE
1220,Maine,43.855,-69.503,622.2031309295314,SENECA LAKE STORAGE
1221,Texas,31.024,-104.251,161.81790518521024,KEYSTONE
1222,Iowa,41.472,-91.954,569.7521985911669,LACEY STORAGE
1223,NorthDakota,46.99,-103.792,618.7785802573462,ASQUITH
1224,Nebraska,42.54,-100.242,1120.5734941522535,SALADO
1225,SouthDakota,43.939,-98.812,1100.3984117400755,ASQUITH
1226,Texas,33.25,-99.171,340.8485812691543,BETHEL
1227,NewMexico,34.183,-107.129,435.5782849642538,SALADO
1228,Mississippi,31.018,-89.246,39.9760298498566,HATTIESBURG/PETAL
1229,Kansas,37.421,-95.093,578.2284923429297,ARCADIA
1230,NorthDakota,46.587,-101.817,726.4921553588863,ASQUITH
1231,Texas,28.811,-95.685,22.92425816951981,CLEMENS NORTHEAST (FRIO B)
1232,Washington,47.727,-118.588,948.6220026691452,ASQUITH
1233,Missouri,37.519,-90.811,584.4654996238987,PERRYVILLE
1234,Texas,30.682,-104.843,229.56569928632476,KEYSTONE
1235,Georgia,34.434,-85.474,425.1075110522208,MCINTOSH SALT DOME
1236,Wyoming,41.614,-105.338,1019.3901878799928,SALADO
1237,Michigan,42.37,-84.878,29.6742098929754,LACEY STORAGE
1238,California,34.902,-119.962,1605.6105534636383,SALADO
1239,NorthDakota,46.359,-99.725,838.09382968829,ASQUITH
1240,Arkansas,35.04,-93.393,282.2169043284992,ARCADIA
1241,Arizona,33.716,-109.824,664.0063543225117,SALADO
1242,Wyoming,43.35,-105.756,977.8274565877272,ASQUITH
1243,Missouri,37.668,-92.322,572.8004008734033,ARCADIA
1244,Texas,31.073,-103.497,112.36651140282216,KEYSTONE
1245,Colorado,40.303,-108.335,982.0493709078562,SALADO
1246,Missouri,38.376,-93.262,649.6482268328238,ARCADIA
1247,Montana,48.805,-106.38,370.1734248329653,ASQUITH
1248,Iowa,40.664,-91.135,533.3150601710071,LACEY STORAGE
1249,Oklahoma,36.54,-95.513,505.0876194870453,ARCADIA
1250,Nevada,39.855,-114.918,1347.6791138050091,SALADO
1251,Minnesota,44.551,-96.219,918.7937386995602,LACEY STORAGE
1252,Texas,27.389,-97.853,243.58467284209715,MARKHAM
1253,Minnesota,45.721,-96.224,951.852902212836,LACEY STORAGE
1254,NewYork,41.236,-74.246,256.23883020102176,SENECA LAKE STORAGE
1255,Oregon,43.564,-122.974,1507.9977846718948,ASQUITH
1256,California,41.299,-121.526,1618.1044981296093,ASQUITH
1257,Wyoming,41.187,-110.426,1163.798248943105,SALADO
1258,Idaho,42.304,-114.46,1217.1529292375487,ASQUITH
1259,Texas,30.969,-99.074,317.18750959193915,BETHEL
1260,NewMexico,31.358,-108.489,528.7363794427772,KEYSTONE
1261,SouthCarolina,33.166,-81.736,409.96144913921705,SALTVILLE STORAGE
1262,Iowa,40.887,-91.991,591.2489761497335,LACEY STORAGE
1263,Texas,32.086,-97.971,195.47147560815912,BETHEL
1264,Mississippi,34.739,-88.359,330.39201475288155,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
1265,Oregon,43.635,-119.073,1289.4598686077366,ASQUITH
1266,Kansas,38.103,-97.312,700.8957765086316,BETHEL
1267,Ohio,41.296,-81.674,193.0139315012208,MARYSVILLE STORAGE SYSTEM
1268,Washington,46.141,-119.105,1089.1054739238225,ASQUITH
1269,Utah,39.502,-110.481,1026.0133244982594,SALADO
